Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
Rovereto,"Biossido di Azoto",2024-01-18,20,46,µg/mc
Rovereto,"Biossido di Azoto",2024-01-18,21,45,µg/mc
Rovereto,"Biossido di Azoto",2024-01-18,22,51,µg/mc
Rovereto,"Biossido di Azoto",2024-01-18,23,44,µg/mc
Rovereto,"Biossido di Azoto",2024-01-18,24,41,µg/mc
Rovereto,Ozono,2024-01-18,1,7,µg/mc
Rovereto,Ozono,2024-01-18,2,16,µg/mc
Rovereto,Ozono,2024-01-18,3,24,µg/mc
Rovereto,Ozono,2024-01-18,4,22,µg/mc
Rovereto,Ozono,2024-01-18,5,16,µg/mc
Rovereto,Ozono,2024-01-18,6,14,µg/mc
Rovereto,Ozono,2024-01-18,7,5,µg/mc
Rovereto,Ozono,2024-01-18,8,4,µg/mc
Rovereto,Ozono,2024-01-18,9,5,µg/mc
Rovereto,Ozono,2024-01-18,10,9,µg/mc
Rovereto,Ozono,2024-01-18,11,19,µg/mc
Rovereto,Ozono,2024-01-18,12,24,µg/mc
Rovereto,Ozono,2024-01-18,13,24,µg/mc
Rovereto,Ozono,2024-01-18,14,26,µg/mc
Rovereto,Ozono,2024-01-18,15,26,µg/mc
Rovereto,Ozono,2024-01-18,16,17,µg/mc
Rovereto,Ozono,2024-01-18,17,8,µg/mc
Rovereto,Ozono,2024-01-18,18,3,µg/mc
Rovereto,Ozono,2024-01-18,19,3,µg/mc
Rovereto,Ozono,2024-01-18,20,3,µg/mc
Rovereto,Ozono,2024-01-18,21,4,µg/mc
Rovereto,Ozono,2024-01-18,22,5,µg/mc
Rovereto,Ozono,2024-01-18,23,3,µg/mc
Rovereto,Ozono,2024-01-18,24,3,µg/mc
"Borgo Valsugana",PM10,2024-01-18,1,35,µg/mc
"Borgo Valsugana",PM10,2024-01-18,2,29,µg/mc
"Borgo Valsugana",PM10,2024-01-18,3,28,µg/mc
"Borgo Valsugana",PM10,2024-01-18,4,26,µg/mc
"Borgo Valsugana",PM10,2024-01-18,5,18,µg/mc
"Borgo Valsugana",PM10,2024-01-18,6,9,µg/mc
"Borgo Valsugana",PM10,2024-01-18,7,11,µg/mc
"Borgo Valsugana",PM10,2024-01-18,8,16,µg/mc
"Borgo Valsugana",PM10,2024-01-18,9,22,µg/mc
"Borgo Valsugana",PM10,2024-01-18,10,24,µg/mc
"Borgo Valsugana",PM10,2024-01-18,11,25,µg/mc
"Borgo Valsugana",PM10,2024-01-18,12,20,µg/mc
"Borgo Valsugana",PM10,2024-01-18,13,22,µg/mc
"Borgo Valsugana",PM10,2024-01-18,14,22,µg/mc
"Borgo Valsugana",PM10,2024-01-18,15,21,µg/mc
"Borgo Valsugana",PM10,2024-01-18,16,18,µg/mc
"Borgo Valsugana",PM10,2024-01-18,17,20,µg/mc
"Borgo Valsugana",PM10,2024-01-18,18,44,µg/mc
"Borgo Valsugana",PM10,2024-01-18,19,38,µg/mc
"Borgo Valsugana",PM10,2024-01-18,20,48,µg/mc
"Borgo Valsugana",PM10,2024-01-18,21,49,µg/mc
"Borgo Valsugana",PM10,2024-01-18,22,41,µg/mc
"Borgo Valsugana",PM10,2024-01-18,23,40,µg/mc
"Borgo Valsugana",PM10,2024-01-18,24,36,µg/mc
"Borgo Valsugana",PM2.5,2024-01-18,1,28,µg/mc
"Borgo Valsugana",PM2.5,2024-01-18,2,23,µg/mc
"Borgo Valsugana",PM2.5,2024-01-18,3,22,µg/mc
"Borgo Valsugana",PM2.5,2024-01-18,4,20,µg/mc
"Borgo Valsugana",PM2.5,2024-01-18,5,14,µg/mc
"Borgo Valsugana",PM2.5,2024-01-18,6,8,µg/mc
"Borgo Valsugana",PM2.5,2024-01-18,7,9,µg/mc
"Borgo Valsugana",PM2.5,2024-01-18,8,12,µg/mc
"Borgo Valsugana",PM2.5,2024-01-18,9,16,µg/mc
"Borgo Valsugana",PM2.5,2024-01-18,10,18,µg/mc
"Borgo Valsugana",PM2.5,2024-01-18,11,19,µg/mc
"Borgo Valsugana",PM2.5,2024-01-18,12,15,µg/mc
"Borgo Valsugana",PM2.5,2024-01-18,13,16,µg/mc
"Borgo Valsugana",PM2.5,2024-01-18,14,14,µg/mc
"Borgo Valsugana",PM2.5,2024-01-18,15,13,µg/mc
"Borgo Valsugana",PM2.5,2024-01-18,16,11,µg/mc
"Borgo Valsugana",PM2.5,2024-01-18,17,11,µg/mc
"Borgo Valsugana",PM2.5,2024-01-18,18,23,µg/mc
"Borgo Valsugana",PM2.5,2024-01-18,19,20,µg/mc
"Borgo Valsugana",PM2.5,2024-01-18,20,27,µg/mc
"Borgo Valsugana",PM2.5,2024-01-18,21,26,µg/mc
"Borgo Valsugana",PM2.5,2024-01-18,22,26,µg/mc
"Borgo Valsugana",PM2.5,2024-01-18,23,31,µg/mc
"Borgo Valsugana",PM2.5,2024-01-18,24,31,µg/mc
"Borgo Valsugana","Biossido di Azoto",2024-01-18,1,32,µg/mc
"Borgo Valsugana","Biossido di Azoto",2024-01-18,2,32,µg/mc
"Borgo Valsugana","Biossido di Azoto",2024-01-18,3,33,µg/mc
"Borgo Valsugana","Biossido di Azoto",2024-01-18,4,31,µg/mc
"Borgo Valsugana","Biossido di Azoto",2024-01-18,5,32,µg/mc
"Borgo Valsugana","Biossido di Azoto",2024-01-18,6,33,µg/mc
"Borgo Valsugana","Biossido di Azoto",2024-01-18,7,38,µg/mc
"Borgo Valsugana","Biossido di Azoto",2024-01-18,8,36,µg/mc
"Borgo Valsugana","Biossido di Azoto",2024-01-18,9,43,µg/mc
"Borgo Valsugana","Biossido di Azoto",2024-01-18,10,40,µg/mc
"Borgo Valsugana","Biossido di Azoto",2024-01-18,11,37,µg/mc
"Borgo Valsugana","Biossido di Azoto",2024-01-18,12,30,µg/mc
"Borgo Valsugana","Biossido di Azoto",2024-01-18,13,32,µg/mc
"Borgo Valsugana","Biossido di Azoto",2024-01-18,14,32,µg/mc
"Borgo Valsugana","Biossido di Azoto",2024-01-18,15,35,µg/mc
"Borgo Valsugana","Biossido di Azoto",2024-01-18,16,35,µg/mc
"Borgo Valsugana","Biossido di Azoto",2024-01-18,17,45,µg/mc
"Borgo Valsugana","Biossido di Azoto",2024-01-18,18,59,µg/mc
"Borgo Valsugana","Biossido di Azoto",2024-01-18,19,48,µg/mc
"Borgo Valsugana","Biossido di Azoto",2024-01-18,20,43,µg/mc
"Borgo Valsugana","Biossido di Azoto",2024-01-18,21,36,µg/mc
"Borgo Valsugana","Biossido di Azoto",2024-01-18,22,33,µg/mc
"Borgo Valsugana","Biossido di Azoto",2024-01-18,23,29,µg/mc
"Borgo Valsugana","Biossido di Azoto",2024-01-18,24,30,µg/mc
"Borgo Valsugana",Ozono,2024-01-18,1,11,µg/mc
"Borgo Valsugana",Ozono,2024-01-18,2,10,µg/mc
"Borgo Valsugana",Ozono,2024-01-18,3,8,µg/mc
"Borgo Valsugana",Ozono,2024-01-18,4,8,µg/mc
"Borgo Valsugana",Ozono,2024-01-18,5,8,µg/mc
"Borgo Valsugana",Ozono,2024-01-18,6,11,µg/mc
"Borgo Valsugana",Ozono,2024-01-18,7,10,µg/mc
"Borgo Valsugana",Ozono,2024-01-18,8,11,µg/mc
"Borgo Valsugana",Ozono,2024-01-18,9,8,µg/mc
"Borgo Valsugana",Ozono,2024-01-18,10,11,µg/mc
"Borgo Valsugana",Ozono,2024-01-18,11,16,µg/mc
"Borgo Valsugana",Ozono,2024-01-18,12,22,µg/mc
"Borgo Valsugana",Ozono,2024-01-18,13,22,µg/mc
"Borgo Valsugana",Ozono,2024-01-18,14,23,µg/mc
"Borgo Valsugana",Ozono,2024-01-18,15,19,µg/mc
"Borgo Valsugana",Ozono,2024-01-18,16,22,µg/mc
"Borgo Valsugana",Ozono,2024-01-18,17,9,µg/mc
"Borgo Valsugana",Ozono,2024-01-18,18,4,µg/mc
"Borgo Valsugana",Ozono,2024-01-18,19,3,µg/mc
"Borgo Valsugana",Ozono,2024-01-18,20,3,µg/mc
"Borgo Valsugana",Ozono,2024-01-18,21,3,µg/mc
"Borgo Valsugana",Ozono,2024-01-18,22,3,µg/mc
"Borgo Valsugana",Ozono,2024-01-18,23,3,µg/mc
"Borgo Valsugana",Ozono,2024-01-18,24,2,µg/mc
"Riva del Garda",PM10,2024-01-18,1,27,µg/mc
"Riva del Garda",PM10,2024-01-18,2,20,µg/mc
"Riva del Garda",PM10,2024-01-18,3,20,µg/mc
"Riva del Garda",PM10,2024-01-18,4,24,µg/mc
"Riva del Garda",PM10,2024-01-18,5,23,µg/mc
"Riva del Garda",PM10,2024-01-18,6,23,µg/mc
"Riva del Garda",PM10,2024-01-18,7,24,µg/mc
"Riva del Garda",PM10,2024-01-18,8,23,µg/mc
"Riva del Garda",PM10,2024-01-18,9,25,µg/mc
"Riva del Garda",PM10,2024-01-18,10,25,µg/mc
"Riva del Garda",PM10,2024-01-18,11,18,µg/mc
"Riva del Garda",PM10,2024-01-18,12,14,µg/mc
"Riva del Garda",PM10,2024-01-18,13,14,µg/mc
"Riva del Garda",PM10,2024-01-18,14,15,µg/mc
"Riva del Garda",PM10,2024-01-18,15,15,µg/mc
"Riva del Garda",PM10,2024-01-18,16,18,µg/mc
"Riva del Garda",PM10,2024-01-18,17,18,µg/mc
"Riva del Garda",PM10,2024-01-18,18,21,µg/mc
"Riva del Garda",PM10,2024-01-18,19,24,µg/mc
"Riva del Garda",PM10,2024-01-18,20,23,µg/mc
"Riva del Garda",PM10,2024-01-18,21,39,µg/mc
"Riva del Garda",PM10,2024-01-18,22,36,µg/mc
"Riva del Garda",PM10,2024-01-18,23,33,µg/mc
"Riva del Garda",PM10,2024-01-18,24,30,µg/mc
"Riva del Garda","Biossido di Azoto",2024-01-18,1,21,µg/mc
"Riva del Garda","Biossido di Azoto",2024-01-18,2,16,µg/mc
"Riva del Garda","Biossido di Azoto",2024-01-18,3,16,µg/mc
"Riva del Garda","Biossido di Azoto",2024-01-18,4,17,µg/mc
"Riva del Garda","Biossido di Azoto",2024-01-18,5,19,µg/mc
"Riva del Garda","Biossido di Azoto",2024-01-18,6,27,µg/mc
"Riva del Garda","Biossido di Azoto",2024-01-18,7,38,µg/mc
"Riva del Garda","Biossido di Azoto",2024-01-18,8,36,µg/mc
"Riva del Garda","Biossido di Azoto",2024-01-18,9,42,µg/mc
"Riva del Garda","Biossido di Azoto",2024-01-18,10,37,µg/mc
"Riva del Garda","Biossido di Azoto",2024-01-18,11,25,µg/mc
"Riva del Garda","Biossido di Azoto",2024-01-18,12,19,µg/mc
"Riva del Garda","Biossido di Azoto",2024-01-18,13,22,µg/mc
"Riva del Garda","Biossido di Azoto",2024-01-18,14,23,µg/mc
"Riva del Garda","Biossido di Azoto",2024-01-18,15,27,µg/mc
"Riva del Garda","Biossido di Azoto",2024-01-18,16,33,µg/mc
"Riva del Garda","Biossido di Azoto",2024-01-18,17,36,µg/mc
"Riva del Garda","Biossido di Azoto",2024-01-18,18,37,µg/mc
"Riva del Garda","Biossido di Azoto",2024-01-18,19,37,µg/mc
"Riva del Garda","Biossido di Azoto",2024-01-18,20,35,µg/mc
"Riva del Garda","Biossido di Azoto",2024-01-18,21,38,µg/mc
"Riva del Garda","Biossido di Azoto",2024-01-18,22,41,µg/mc
"Riva del Garda","Biossido di Azoto",2024-01-18,23,37,µg/mc
"Riva del Garda","Biossido di Azoto",2024-01-18,24,35,µg/mc
"Riva del Garda",Ozono,2024-01-18,1,28,µg/mc
"Riva del Garda",Ozono,2024-01-18,2,34,µg/mc
"Riva del Garda",Ozono,2024-01-18,3,33,µg/mc
"Riva del Garda",Ozono,2024-01-18,4,28,µg/mc
"Riva del Garda",Ozono,2024-01-18,5,25,µg/mc
"Riva del Garda",Ozono,2024-01-18,6,18,µg/mc
"Riva del Garda",Ozono,2024-01-18,7,9,µg/mc
"Riva del Garda",Ozono,2024-01-18,8,9,µg/mc
"Riva del Garda",Ozono,2024-01-18,9,6,µg/mc
"Riva del Garda",Ozono,2024-01-18,10,10,µg/mc
"Riva del Garda",Ozono,2024-01-18,11,23,µg/mc
"Riva del Garda",Ozono,2024-01-18,12,31,µg/mc
"Riva del Garda",Ozono,2024-01-18,13,33,µg/mc
"Riva del Garda",Ozono,2024-01-18,14,31,µg/mc
"Riva del Garda",Ozono,2024-01-18,15,25,µg/mc
"Riva del Garda",Ozono,2024-01-18,16,12,µg/mc
"Riva del Garda",Ozono,2024-01-18,17,12,µg/mc
"Riva del Garda",Ozono,2024-01-18,18,5,µg/mc
"Riva del Garda",Ozono,2024-01-18,19,4,µg/mc
"Riva del Garda",Ozono,2024-01-18,20,4,µg/mc
"Riva del Garda",Ozono,2024-01-18,21,5,µg/mc
"Riva del Garda",Ozono,2024-01-18,22,5,µg/mc
"Riva del Garda",Ozono,2024-01-18,23,4,µg/mc
"Riva del Garda",Ozono,2024-01-18,24,4,µg/mc
"A22 (Avio)",PM10,2024-01-18,1,13,µg/mc
"A22 (Avio)",PM10,2024-01-18,2,12,µg/mc
"A22 (Avio)",PM10,2024-01-18,3,11,µg/mc
"A22 (Avio)",PM10,2024-01-18,4,11,µg/mc
"A22 (Avio)",PM10,2024-01-18,5,11,µg/mc
"A22 (Avio)",PM10,2024-01-18,6,12,µg/mc
"A22 (Avio)",PM10,2024-01-18,7,13,µg/mc
"A22 (Avio)",PM10,2024-01-18,8,15,µg/mc
"A22 (Avio)",PM10,2024-01-18,9,16,µg/mc
"A22 (Avio)",PM10,2024-01-18,10,16,µg/mc
"A22 (Avio)",PM10,2024-01-18,11,17,µg/mc
"A22 (Avio)",PM10,2024-01-18,12,15,µg/mc
"A22 (Avio)",PM10,2024-01-18,13,17,µg/mc
"A22 (Avio)",PM10,2024-01-18,14,18,µg/mc
"A22 (Avio)",PM10,2024-01-18,15,17,µg/mc
"A22 (Avio)",PM10,2024-01-18,16,18,µg/mc
"A22 (Avio)",PM10,2024-01-18,17,18,µg/mc
"A22 (Avio)",PM10,2024-01-18,18,17,µg/mc
"A22 (Avio)",PM10,2024-01-18,19,17,µg/mc
"A22 (Avio)",PM10,2024-01-18,20,18,µg/mc
"A22 (Avio)",PM10,2024-01-18,21,19,µg/mc
"A22 (Avio)",PM10,2024-01-18,22,21,µg/mc
"A22 (Avio)",PM10,2024-01-18,23,20,µg/mc
"A22 (Avio)",PM10,2024-01-18,24,21,µg/mc
"A22 (Avio)","Biossido di Azoto",2024-01-18,1,52,µg/mc
"A22 (Avio)","Biossido di Azoto",2024-01-18,2,53,µg/mc
"A22 (Avio)","Biossido di Azoto",2024-01-18,3,50,µg/mc
"A22 (Avio)","Biossido di Azoto",2024-01-18,4,50,µg/mc
"A22 (Avio)","Biossido di Azoto",2024-01-18,5,53,µg/mc
"A22 (Avio)","Biossido di Azoto",2024-01-18,6,50,µg/mc
"A22 (Avio)","Biossido di Azoto",2024-01-18,7,53,µg/mc
"A22 (Avio)","Biossido di Azoto",2024-01-18,8,55,µg/mc
"A22 (Avio)","Biossido di Azoto",2024-01-18,9,53,µg/mc
"A22 (Avio)","Biossido di Azoto",2024-01-18,10,49,µg/mc
"A22 (Avio)","Biossido di Azoto",2024-01-18,11,50,µg/mc
"A22 (Avio)","Biossido di Azoto",2024-01-18,12,39,µg/mc
"A22 (Avio)","Biossido di Azoto",2024-01-18,13,38,µg/mc
"A22 (Avio)","Biossido di Azoto",2024-01-18,14,40,µg/mc
"A22 (Avio)","Biossido di Azoto",2024-01-18,15,41,µg/mc
"A22 (Avio)","Biossido di Azoto",2024-01-18,16,50,µg/mc
"A22 (Avio)","Biossido di Azoto",2024-01-18,17,58,µg/mc
"A22 (Avio)","Biossido di Azoto",2024-01-18,18,61,µg/mc
"A22 (Avio)","Biossido di Azoto",2024-01-18,19,56,µg/mc
"A22 (Avio)","Biossido di Azoto",2024-01-18,20,58,µg/mc
"A22 (Avio)","Biossido di Azoto",2024-01-18,21,52,µg/mc
"A22 (Avio)","Biossido di Azoto",2024-01-18,22,53,µg/mc
"A22 (Avio)","Biossido di Azoto",2024-01-18,23,50,µg/mc
"A22 (Avio)","Biossido di Azoto",2024-01-18,24,46,µg/mc
"A22 (Avio)","Ossido di Carbonio",2024-01-18,1,1.3,mg/mc
"A22 (Avio)","Ossido di Carbonio",2024-01-18,2,1.3,mg/mc
"A22 (Avio)","Ossido di Carbonio",2024-01-18,3,1.3,mg/mc
"A22 (Avio)","Ossido di Carbonio",2024-01-18,4,1.3,mg/mc
"A22 (Avio)","Ossido di Carbonio",2024-01-18,5,1.3,mg/mc
"A22 (Avio)","Ossido di Carbonio",2024-01-18,6,1.3,mg/mc
"A22 (Avio)","Ossido di Carbonio",2024-01-18,7,1.3,mg/mc
"A22 (Avio)","Ossido di Carbonio",2024-01-18,8,1.3,mg/mc
"A22 (Avio)","Ossido di Carbonio",2024-01-18,9,1.3,mg/mc
"A22 (Avio)","Ossido di Carbonio",2024-01-18,10,1.3,mg/mc
"A22 (Avio)","Ossido di Carbonio",2024-01-18,11,1.4,mg/mc
"A22 (Avio)","Ossido di Carbonio",2024-01-18,12,1.3,mg/mc
"A22 (Avio)","Ossido di Carbonio",2024-01-18,13,1.3,mg/mc
"A22 (Avio)","Ossido di Carbonio",2024-01-18,14,1.3,mg/mc
"A22 (Avio)","Ossido di Carbonio",2024-01-18,15,1.3,mg/mc
"A22 (Avio)","Ossido di Carbonio",2024-01-18,16,1.3,mg/mc
"A22 (Avio)","Ossido di Carbonio",2024-01-18,17,1.4,mg/mc
"A22 (Avio)","Ossido di Carbonio",2024-01-18,18,1.4,mg/mc
"A22 (Avio)","Ossido di Carbonio",2024-01-18,19,1.4,mg/mc
"A22 (Avio)","Ossido di Carbonio",2024-01-18,20,1.5,mg/mc
"A22 (Avio)","Ossido di Carbonio",2024-01-18,21,1.5,mg/mc
"A22 (Avio)","Ossido di Carbonio",2024-01-18,22,1.6,mg/mc
"A22 (Avio)","Ossido di Carbonio",2024-01-18,23,1.5,mg/mc
"A22 (Avio)","Ossido di Carbonio",2024-01-18,24,1.6,mg/mc
"Monte Gaza",PM10,2024-01-18,1,3,µg/mc
"Monte Gaza",PM10,2024-01-18,2,4,µg/mc
"Monte Gaza",PM10,2024-01-18,3,3,µg/mc
"Monte Gaza",PM10,2024-01-18,4,2,µg/mc
"Monte Gaza",PM10,2024-01-18,5,1,µg/mc
"Monte Gaza",PM10,2024-01-18,6,1,µg/mc
"Monte Gaza",PM10,2024-01-18,7,1,µg/mc
"Monte Gaza",PM10,2024-01-18,8,2,µg/mc
"Monte Gaza",PM10,2024-01-18,9,2,µg/mc
"Monte Gaza",PM10,2024-01-18,10,2,µg/mc
"Monte Gaza",PM10,2024-01-18,11,1,µg/mc
"Monte Gaza",PM10,2024-01-18,12,1,µg/mc
"Monte Gaza",PM10,2024-01-18,13,1,µg/mc
"Monte Gaza",PM10,2024-01-18,14,1,µg/mc
"Monte Gaza",PM10,2024-01-18,15,1,µg/mc
"Monte Gaza",PM10,2024-01-18,16,1,µg/mc
"Monte Gaza",PM10,2024-01-18,17,3,µg/mc
"Monte Gaza",PM10,2024-01-18,18,3,µg/mc
"Monte Gaza",PM10,2024-01-18,19,9,µg/mc
"Monte Gaza",PM10,2024-01-18,20,41,µg/mc
"Monte Gaza",PM10,2024-01-18,21,47,µg/mc
"Monte Gaza",PM10,2024-01-18,22,80,µg/mc
"Monte Gaza",PM10,2024-01-18,23,49,µg/mc
"Monte Gaza",PM10,2024-01-18,24,6,µg/mc
"Monte Gaza","Biossido di Azoto",2024-01-18,1,3,µg/mc
"Monte Gaza","Biossido di Azoto",2024-01-18,2,3,µg/mc
"Monte Gaza","Biossido di Azoto",2024-01-18,3,3,µg/mc
"Monte Gaza","Biossido di Azoto",2024-01-18,4,3,µg/mc
"Monte Gaza","Biossido di Azoto",2024-01-18,5,2,µg/mc
"Monte Gaza","Biossido di Azoto",2024-01-18,6,2,µg/mc
"Monte Gaza","Biossido di Azoto",2024-01-18,7,2,µg/mc
"Monte Gaza","Biossido di Azoto",2024-01-18,8,2,µg/mc
"Monte Gaza","Biossido di Azoto",2024-01-18,9,2,µg/mc
"Monte Gaza","Biossido di Azoto",2024-01-18,10,2,µg/mc
"Monte Gaza","Biossido di Azoto",2024-01-18,11,2,µg/mc
"Monte Gaza","Biossido di Azoto",2024-01-18,12,2,µg/mc
"Monte Gaza","Biossido di Azoto",2024-01-18,13,2,µg/mc
"Monte Gaza","Biossido di Azoto",2024-01-18,14,2,µg/mc
"Monte Gaza","Biossido di Azoto",2024-01-18,15,2,µg/mc
"Monte Gaza","Biossido di Azoto",2024-01-18,16,3,µg/mc
"Monte Gaza","Biossido di Azoto",2024-01-18,17,3,µg/mc
"Monte Gaza","Biossido di Azoto",2024-01-18,18,3,µg/mc
"Monte Gaza","Biossido di Azoto",2024-01-18,19,4,µg/mc
"Monte Gaza","Biossido di Azoto",2024-01-18,20,4,µg/mc
"Monte Gaza","Biossido di Azoto",2024-01-18,21,4,µg/mc
"Monte Gaza","Biossido di Azoto",2024-01-18,22,5,µg/mc
"Monte Gaza","Biossido di Azoto",2024-01-18,23,4,µg/mc
"Monte Gaza","Biossido di Azoto",2024-01-18,24,3,µg/mc
"Monte Gaza",Ozono,2024-01-18,1,73,µg/mc
"Monte Gaza",Ozono,2024-01-18,2,72,µg/mc
"Monte Gaza",Ozono,2024-01-18,3,72,µg/mc
"Monte Gaza",Ozono,2024-01-18,4,73,µg/mc
"Monte Gaza",Ozono,2024-01-18,5,73,µg/mc
"Monte Gaza",Ozono,2024-01-18,6,70,µg/mc
"Monte Gaza",Ozono,2024-01-18,7,68,µg/mc
"Monte Gaza",Ozono,2024-01-18,8,70,µg/mc
"Monte Gaza",Ozono,2024-01-18,9,71,µg/mc
"Monte Gaza",Ozono,2024-01-18,10,72,µg/mc
"Monte Gaza",Ozono,2024-01-18,11,72,µg/mc
"Monte Gaza",Ozono,2024-01-18,12,74,µg/mc
"Monte Gaza",Ozono,2024-01-18,13,72,µg/mc
"Monte Gaza",Ozono,2024-01-18,14,72,µg/mc
"Monte Gaza",Ozono,2024-01-18,15,71,µg/mc
"Monte Gaza",Ozono,2024-01-18,16,71,µg/mc
"Monte Gaza",Ozono,2024-01-18,17,73,µg/mc
"Monte Gaza",Ozono,2024-01-18,18,72,µg/mc
"Monte Gaza",Ozono,2024-01-18,19,70,µg/mc
"Monte Gaza",Ozono,2024-01-18,20,68,µg/mc
"Monte Gaza",Ozono,2024-01-18,21,68,µg/mc
"Monte Gaza",Ozono,2024-01-18,22,66,µg/mc
"Monte Gaza",Ozono,2024-01-18,23,66,µg/mc
"Monte Gaza",Ozono,2024-01-18,24,70,µg/mc
